,line,station
0,北京地铁1号线,苹果园
1,北京地铁1号线,古城
2,北京地铁1号线,八角游乐园
3,北京地铁1号线,八宝山
4,北京地铁1号线,玉泉路
5,北京地铁1号线,五棵松
6,北京地铁1号线,万寿路
7,北京地铁1号线,公主坟
8,北京地铁1号线,军事博物馆
9,北京地铁1号线,木樨地
10,北京地铁1号线,南礼士路
11,北京地铁1号线,复兴门
12,北京地铁1号线,西单
13,北京地铁1号线,天安门西
14,北京地铁1号线,天安门东
15,北京地铁1号线,王府井
16,北京地铁1号线,东单
17,北京地铁1号线,建国门
18,北京地铁1号线,永安里
19,北京地铁1号线,国贸
20,北京地铁1号线,大望路
21,北京地铁1号线,四惠
22,北京地铁1号线,四惠东
23,北京地铁13号线,西直门
24,北京地铁13号线,大钟寺
25,北京地铁13号线,知春路
26,北京地铁13号线,五道口
27,北京地铁13号线,上地
28,北京地铁13号线,西二旗
29,北京地铁13号线,龙泽
30,北京地铁13号线,回龙观
31,北京地铁13号线,霍营
32,北京地铁13号线,立水桥
33,北京地铁13号线,北苑
34,北京地铁13号线,望京西
35,北京地铁13号线,芍药居
36,北京地铁13号线,光熙门
37,北京地铁13号线,柳芳
38,北京地铁13号线,东直门
39,北京地铁八通线,四惠
40,北京地铁八通线,四惠东
41,北京地铁八通线,高碑店
42,北京地铁八通线,传媒大学
43,北京地铁八通线,双桥
44,北京地铁八通线,管庄
45,北京地铁八通线,八里桥
46,北京地铁八通线,通州北苑
47,北京地铁八通线,果园
48,北京地铁八通线,九棵树
49,北京地铁八通线,梨园
50,北京地铁八通线,临河里
51,北京地铁八通线,土桥
52,北京地铁5号线,天通苑北
53,北京地铁5号线,天通苑
54,北京地铁5号线,天通苑南
55,北京地铁5号线,立水桥
56,北京地铁5号线,立水桥南
57,北京地铁5号线,北苑路北
58,北京地铁5号线,大屯路东
59,北京地铁5号线,惠新西街北口
60,北京地铁5号线,惠新西街南口
61,北京地铁5号线,和平西桥
62,北京地铁5号线,和平里北街
63,北京地铁5号线,雍和宫
64,北京地铁5号线,北新桥
65,北京地铁5号线,张自忠路
66,北京地铁5号线,东四
67,北京地铁5号线,灯市口
68,北京地铁5号线,东单
69,北京地铁5号线,崇文门
70,北京地铁5号线,磁器口
71,北京地铁5号线,天坛东门
72,北京地铁5号线,蒲黄榆
73,北京地铁5号线,刘家窑
74,北京地铁5号线,宋家庄
75,北京地铁8号线,朱辛庄
76,北京地铁8号线,育知路
77,北京地铁8号线,回龙观东大街
78,北京地铁8号线,霍营
79,北京地铁8号线,育新
80,北京地铁8号线,西小口
81,北京地铁8号线,永泰庄
82,北京地铁8号线,林萃桥
83,北京地铁8号线,森林公园南门
84,北京地铁8号线,奥林匹克公园
85,北京地铁8号线,奥体中心
86,北京地铁8号线,北土城
87,北京地铁8号线,安华桥
88,北京地铁8号线,安德里北街
89,北京地铁8号线,鼓楼大街
90,北京地铁8号线,什刹海
91,北京地铁8号线,南锣鼓巷
92,北京地铁10号线,巴沟
93,北京地铁10号线,苏州街
94,北京地铁10号线,海淀黄庄
95,北京地铁10号线,知春里
96,北京地铁10号线,知春路
97,北京地铁10号线,西土城
98,北京地铁10号线,牡丹园
99,北京地铁10号线,健德门
100,北京地铁10号线,北土城
101,北京地铁10号线,安贞门
102,北京地铁10号线,惠新西街南口
103,北京地铁10号线,芍药居
104,北京地铁10号线,太阳宫
105,北京地铁10号线,三元桥
106,北京地铁10号线,亮马桥
107,北京地铁10号线,农业展览馆
108,北京地铁10号线,团结湖
109,北京地铁10号线,呼家楼
110,北京地铁10号线,金台夕照
111,北京地铁10号线,国贸
112,北京地铁10号线,双井
113,北京地铁10号线,劲松
114,北京地铁10号线,潘家园
115,北京地铁10号线,十里河
116,北京地铁10号线,分钟寺
117,北京地铁10号线,成寿寺
118,北京地铁10号线,宋家庄
119,北京地铁10号线,石榴庄
120,北京地铁10号线,大红门
121,北京地铁10号线,角门东
122,北京地铁10号线,角门西
123,北京地铁10号线,草桥
124,北京地铁10号线,纪家庙
125,北京地铁10号线,首经贸
126,北京地铁10号线,丰台站
127,北京地铁10号线,泥洼
128,北京地铁10号线,西局
129,北京地铁10号线,六里桥
130,北京地铁10号线,莲花桥
131,北京地铁10号线,公主坟
132,北京地铁10号线,西钓鱼台
133,北京地铁10号线,慈寿寺
134,北京地铁10号线,车道沟
135,北京地铁10号线,长春桥
136,北京地铁10号线,火器营
137,北京地铁10号线,巴沟
138,北京地铁机场线,东直门站
139,北京地铁机场线,三元桥
140,北京地铁机场线,3号航站楼
141,北京地铁机场线,2号航站楼
142,北京地铁4号线,安河桥北
143,北京地铁4号线,北宫门
144,北京地铁4号线,西苑
145,北京地铁4号线,圆明园
146,北京地铁4号线,北京大学东门
147,北京地铁4号线,中关村
148,北京地铁4号线,海淀黄庄
149,北京地铁4号线,人民大学
150,北京地铁4号线,魏公村
151,北京地铁4号线,国家图书馆
152,北京地铁4号线,动物园
153,北京地铁4号线,西直门
154,北京地铁4号线,新街口
155,北京地铁4号线,平安里
156,北京地铁4号线,西四
157,北京地铁4号线,灵境胡同
158,北京地铁4号线,西单
159,北京地铁4号线,宣武门
160,北京地铁4号线,菜市口
161,北京地铁4号线,陶然亭
162,北京地铁4号线,北京南站
163,北京地铁4号线,马家堡
164,北京地铁4号线,角门西
165,北京地铁4号线,公益西桥
166,北京地铁15号线,清华东路西口
